user,info,expansion,contradiction
14639,2,1,1
14639,2,1,1
14639,2,1,1
14639,2,1,1
14639,2,1,1
14639,2,1,1
14639,2,1,1
14639,2,1,1
14639,2,1,1
14639,2,1,1
14639,2,1,1
14639,2,1,1
14640,1,1,1
14640,1,1,1
14640,1,1,1
14640,1,1,1
14640,1,1,1
14640,1,1,1
14640,1,1,1
14640,1,1,1
14640,1,1,1
14640,1,1,1
14640,1,1,1
14640,1,1,1
14640,1,1,1
14640,1,1,1
14640,1,1,1
14640,1,1,1
14641,3,0,1
14641,3,0,1
14641,3,0,1
14641,3,0,1
14641,3,0,1
14641,3,0,1
14641,3,0,1
14641,3,0,1
14642,2,0,1
14642,2,0,1
14642,2,0,1
14642,2,0,1
14642,2,0,1
14642,2,0,1
14642,2,0,1
14642,2,0,1
14642,2,0,1
14642,2,0,1
14642,2,0,1
14642,2,0,1
14642,2,0,1
14643,1,0,1
14643,1,0,1
14643,1,0,1
14643,1,0,1
14643,1,0,1
14643,1,0,1
14643,1,0,1
14643,1,0,1
14643,1,0,1
14643,1,0,1
14644,3,0,0
14644,3,0,0
14644,3,0,0
14644,3,0,0
14644,3,0,0
14644,3,0,0
14644,3,0,0
14644,3,0,0
14644,3,0,0
14644,3,0,0
14644,3,0,0
14644,3,0,0
14644,3,0,0
14644,3,0,0
14645,2,0,0
14645,2,0,0
14645,2,0,0
14645,2,0,0
14645,2,0,0
14645,2,0,0
14645,2,0,0
14645,2,0,0
14645,2,0,0
14645,2,0,0
14645,2,0,0
14645,2,0,0
14645,2,0,0
14646,1,1,0
14646,1,1,0
14646,1,1,0
14646,1,1,0
14646,1,1,0
14646,1,1,0
14646,1,1,0
14646,1,1,0
14646,3,1,0
14646,1,1,0
14646,1,1,0
14646,1,1,0
14647,3,1,0
14647,3,1,0
14648,2,1,0
14648,2,1,0
14648,2,1,0
14648,2,1,0
14648,2,1,0
14648,2,1,0
14648,2,1,0
14648,2,1,0
14648,2,1,0
14648,2,1,0
14648,2,1,0
14648,2,1,0
14648,2,1,0
14648,2,1,0
14648,2,1,0
14648,2,1,0
14649,1,1,1
14649,1,1,1
14649,1,1,1
14649,1,1,1
14649,1,1,1
14649,1,1,1
14649,1,1,1
14649,1,1,1
14649,1,1,1
14649,1,1,1
14649,1,1,1
14650,3,1,1
14650,3,1,1
14650,3,1,1
14650,3,1,1
14650,3,1,1
14650,3,1,1
14650,3,1,1
14650,3,1,1
14650,3,1,1
14651,2,0,1
14651,2,0,1
14651,2,0,1
14651,2,0,1
14651,2,0,1
14651,2,0,1
14651,2,0,1
14651,2,0,1
